Month,Concession,Type,ATC1,ATC1_desc,ATC2,ATC2_desc,Scripts,Cost
2004 Aug,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,85,827.7
2004 Sep,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,120,1222
2004 Oct,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,130,1328
2004 Nov,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,156,1598
2004 Dec,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,188,1915
2005 Jan,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,147,1514
2005 Feb,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,6,61
2005 Mar,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,5,52
2005 Apr,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,8,81
2005 May,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,16,163
2005 Jun,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,19,191
2005 Jul,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,43,435
2005 Aug,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,81,827
2005 Sep,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,72,749
2005 Oct,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,97,981
2005 Nov,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,132,1304
2005 Dec,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,130,1331
2006 Jan,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,129,1376
2006 Feb,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,5,54
2006 Mar,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,0,0
2006 Apr,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,5,54
2006 May,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,12,129
2006 Jun,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,29,311
2006 Jul,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,36,388
2006 Aug,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,56,748
2006 Sep,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,60,1041
2006 Oct,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,81,1450
2006 Nov,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,77,1378
2006 Dec,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,80,1431
2007 Jan,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,97,1736
2007 Feb,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,8,144
2007 Mar,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,2,36
2007 Apr,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,3,54
2007 May,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,9,162
2007 Jun,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,27,484
2007 Jul,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,25,449
2007 Aug,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,60,1032.8
2007 Sep,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,49,754.87
2007 Oct,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,69,1056.71
2007 Nov,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,81,1250.55
2007 Dec,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,71,1087
2008 Jan,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,81,1248
2008 Feb,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,4,62
2008 Mar,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,1,15
2008 Apr,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,2,31
2008 May,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,7,108
2008 Jun,Concessional,Safety net,A,Alimentary tract and metabolism,A15,APPETITE STIMULANTS,7,108
1991 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3321,25170
1991 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4216,31507
1991 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,5815,42185
1991 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,8416,60852
1991 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,10398,74364
1991 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,15443,109468
1992 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,21118,147315
1992 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2199,16869
1992 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,347,3069
1992 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,300,2883
1992 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,716,6107
1992 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1649,12155
1992 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3730,26750.99
1992 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,5661,40053.89
1992 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,8398,59621.15
1992 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,11489,82208.1
1992 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,14682,103455.45
1992 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,22799,160158.75
1993 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,28660,200016.15
1993 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3416,23986.25
1993 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,492,4017.04
1993 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,445,3283.77
1993 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1015,7287.64
1993 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2240,15944.67
1993 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4316,31276.38
1993 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,7493,55340.810000000005
1993 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,10950,82030.36
1993 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,14390,105621.59
1993 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,19018,140354.44999999998
1993 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,32292,240049.34999999998
1994 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,34179,258631.01
1994 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3511,25543.21
1994 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,342,2881.3300000000004
1994 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,380,3180.21
1994 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,987,7313.55
1994 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2692,22666.5
1994 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,5260,43346.6
1994 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,9558,76360.52
1994 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,13416,109355.72
1994 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,18283,146542.68
1994 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,24215,194313.26
1994 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,30958,251477.2
1995 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,36852,301986.75
1995 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2955,25602.47
1995 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,333,2643.8700000000003
1995 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,439,4037.5
1995 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1463,13299.869999999999
1995 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3858,34550.659999999996
1995 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,7078,63661.36
1995 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,12720,117292.06
1995 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,16746,153141.25
1995 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,23788,217798.87
1995 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,28310,264271.54
1995 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,38315,352518.39
1996 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,46744,410948.51
1996 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2917,27172.149999999998
1996 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,374,3037.57
1996 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,528,4994.24
1996 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1949,19910.35
1996 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4347,44593.2
1996 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,9508,98079.23999999999
1996 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,14467,154875.31999999998
1996 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,20425,209534.65
1996 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,27865,287848.46
1996 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,32743,347384.9
1996 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,47492,486678.11
1997 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,51397,515550.83
1997 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3383,35993.94
1997 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,523,6745.63
1997 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,522,5838.18
1997 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1835,22065.7
1997 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4888,57904.689999999995
1997 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,10466,120416.28
1997 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,15433,182408.41999999998
1997 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,23141,276478.4
1997 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,31615,369279.31
1997 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,36264,412835.4
1997 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,57666,645159.4600000001
1998 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,56038,598775.92
1998 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4065,48861.21
1998 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,509,5939.929999999999
1998 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,591,7904.57
1998 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2332,31302.32
1998 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,5957,74242.42
1998 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,12913,175703.65
1998 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,19226,232909.41
1998 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,29982,348728.8
1998 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,38571,442944.41000000003
1998 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,49140,548899.59
1998 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,71638,773076.3600000001
1999 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,79323,831078.6799999999
1999 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,5995,72224.45999999999
1999 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,744,8500.48
1999 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,840,10718.359999999999
1999 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2921,43550.78999999999
1999 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,7669,100889.09
1999 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,16419,209605.19
1999 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,27668,337490.66
1999 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,40854,492622.24
1999 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,52225,621976.01
1999 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,68276,841355.2799999999
1999 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,97474,1360480.4
2000 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,113966,1631316.75
2000 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,8865,127261.32
2000 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,781,13964.99
2000 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1267,25790.01
2000 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4752,105737.7
2000 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,12100,271709.38
2000 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,28021,604304.53
2000 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,45678,981662.64
2000 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,56744,1240542.9
2000 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,83392,1806512.6600000001
2000 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,100341,2138334.73
2000 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,124034,2596883.13
2001 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,147161,2934598.3899999997
2001 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,6216,126634.47
2001 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1000,22420.62
2001 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2056,55906.28
2001 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,8500,230314.61000000002
2001 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,18290,508705.58
2001 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,39420,1096378.9
2001 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,62555,1720885.3900000001
2001 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,75205,2079369.3800000001
2001 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,109877,3032025.4099999997
2001 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,140425,3810562.6
2001 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,153097,3998789.13
2002 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,178605,4493146.01
2002 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,5467,137981.08
2002 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,868,21594.88
2002 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2965,101103.4
2002 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,12211,402510.38
2002 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,26506,888834.01
2002 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,56852,1863399.3900000001
2002 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,80777,2653109.4899999998
2002 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,109751,3548449.59
2002 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,141263,4514137.51
2002 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,160177,4990244.3
2002 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,201838,6138888.1899999995
2003 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,207586,5923555.24
2003 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,7245,236515.91
2003 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1234,36995.05
2003 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3065,115284.14
2003 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,13925,531287.6799999999
2003 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,34031,1249381.91
2003 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,66248,2395811.19
2003 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,92733,3302994.4299999997
2003 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,127061,4511995.39
2003 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,171126,5934557.68
2003 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,184071,6267541.81
2003 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,243161,7940209.430000001
2004 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,252105,7776747.7
2004 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,13695,431258.8
2004 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,1839,58258.189999999995
2004 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4409,180867.69
2004 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,17626,722028.9400000001
2004 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,41907,1640065.1700000002
2004 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,83578,3134571.05
2004 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,120705,4453212.17
2004 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,163335,5927029
2004 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,198870,7192544
2004 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,237592,8326265
2004 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,279854,9473768
2005 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,288653,9231094
2005 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,13838,447164
2005 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2223,75906
2005 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,4940,202471
2005 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,19875,798862
2005 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,40577,1642414
2005 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,86849,3376257
2005 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,136469,5223788
2005 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,180620,6833184
2005 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,206973,7724184
2005 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,256156,9306901
2005 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,293146,10187430
2006 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,321756,10674709
2006 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,12113,393941
2006 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2079,64352
2006 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3286,127939
2006 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,16055,647794
2006 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,39315,1560589
2006 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,75417,2938735
2006 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,127408,4825023
2006 Sep,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,152467,5718562
2006 Oct,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,221543,8122529
2006 Nov,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,245631,8853125
2006 Dec,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,275098,9469010
2007 Jan,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,318119,10150469
2007 Feb,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,12927,419841
2007 Mar,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,2974,95713
2007 Apr,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,3112,126443
2007 May,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,16153,643900
2007 Jun,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,42454,1692156
2007 Jul,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,84941,3352235
2007 Aug,Concessional,Safety net,B,Blood and blood forming organs,B01,ANTITHROMBOTIC AGENTS,137860,5431013.49
