"","Month","Concession","Type","ATC1","ATC1_desc","ATC2","ATC2_desc","Scripts","Cost"
"10151",1996 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",643836,9608164.64
"10152",1996 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",181195,2727015.34
"10153",1996 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",59818,917923.02
"10154",1996 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",37082,564415.7
"10155",1996 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",8246,131157.73
"10156",1996 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2593,45605.47
"10157",1996 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1063,19728.42
"10158",1996 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",904,19055.53
"10159",1997 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",750,16721.09
"10160",1997 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1495,36240.05
"10161",1997 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",60348,976659.59
"10162",1997 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",440041,6987768.2
"10163",1997 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",493132,7827265.89
"10164",1997 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",210739,3764355.85
"10165",1997 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",64682,1361431.31
"10166",1997 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",20670,468775.21
"10167",1997 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",9539,233640.73
"10168",1997 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3978,113997
"10169",1997 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2636,78488.5
"10170",1997 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2576,76011.28
"10171",1998 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1333,38601.44
"10172",1998 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2073,61604.1
"10173",1998 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",98568,1584318.66
"10174",1998 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",515688,8302858.82
"10175",1998 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",553584,9184959.34
"10176",1998 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",178096,3139333.83
"10177",1998 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",50955,946871.91
"10178",1998 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",13972,292989.23
"10179",1998 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",6835,186649.31
"10180",1998 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4357,133987.31
"10181",1998 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3011,96716.89
"10182",1998 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2871,92173.46
"10183",1999 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1521,46887.12
"10184",1999 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2683,82817.57
"10185",1999 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",58088,1109474.53
"10186",1999 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",225106,4190361.71
"10187",1999 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",180509,3329357.02
"10188",1999 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",100847,2045497.68
"10189",1999 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",39417,849301.76
"10190",1999 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",13704,314340.98
"10191",1999 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",5581,161037.35
"10192",1999 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4066,129327.51
"10193",1999 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3326,105774.5
"10194",1999 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3256,106217.19
"10195",2000 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2078,66993.14
"10196",2000 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",7079,191922.21
"10197",2000 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",83000,1587863.24
"10198",2000 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",203706,3684045.65
"10199",2000 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",176948,3163483.27
"10200",2000 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",105252,1887288.39
"10201",2000 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",39338,743014.25
"10202",2000 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",10659,236385.99
"10203",2000 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",5773,153242.38
"10204",2000 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4947,142847.48
"10205",2000 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4099,123263.76
"10206",2000 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3358,101859.67
"10207",2001 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2586,78679.56
"10208",2001 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3699,112453.18
"10209",2001 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",48349,995020.06
"10210",2001 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",247092,4455907.24
"10211",2001 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",204996,3770690.77
"10212",2001 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",79206,1522740.56
"10213",2001 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",51971,991594.32
"10214",2001 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",25801,559212.12
"10215",2001 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",10917,319325.09
"10216",2001 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",8876,279951.31
"10217",2001 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",6958,223617.16
"10218",2001 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",5941,192400.16
"10219",2002 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4106,130258.52
"10220",2002 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",6024,184871.41
"10221",2002 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",46376,933250.33
"10222",2002 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",207832,3611072.73
"10223",2002 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",239687,4104398.28
"10224",2002 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",128289,2818442.49
"10225",2002 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",49888,1190000.7
"10226",2002 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",12935,339431.71
"10227",2002 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4947,135570.43
"10228",2002 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",5522,171777.63
"10229",2002 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3263,97539
"10230",2002 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2619,78986.69
"10231",2003 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2031,60271.25
"10232",2003 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3836,117846.89
"10233",2003 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",59336,1167395.5
"10234",2003 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",313024,6073798.07
"10235",2003 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",250284,4946109.69
"10236",2003 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",81554,1687942.6
"10237",2003 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",31946,701022.93
"10238",2003 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",10532,261386.66
"10239",2003 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",6044,163130.87
"10240",2003 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4386,126744.13
"10241",2003 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2901,87254.78
"10242",2003 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2928,86327.2
"10243",2004 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2142,60875.38
"10244",2004 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4728,139484.02
"10245",2004 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",61337,1197589.85
"10246",2004 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",286185,5236351.1
"10247",2004 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",201225,3746938.28
"10248",2004 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",80982,1621222.06
"10249",2004 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",29193,653494.29
"10250",2004 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",12974,315835.99
"10251",2004 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",6078,176704
"10252",2004 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4126,126412
"10253",2004 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3245,103578
"10254",2004 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2868,90099
"10255",2005 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1684,52450
"10256",2005 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2935,88786
"10257",2005 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",38852,632180
"10258",2005 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",195882,2920718
"10259",2005 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",167316,2454960
"10260",2005 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",104961,1535988
"10261",2005 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",31907,484259
"10262",2005 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",10354,168124
"10263",2005 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3336,63549
"10264",2005 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1631,35733
"10265",2005 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1860,39960
"10266",2005 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1611,33626
"10267",2006 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1075,23198
"10268",2006 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1121,27416
"10269",2006 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",32814,489979
"10270",2006 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",165420,2394299
"10271",2006 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",157062,2278355
"10272",2006 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",52975,788873
"10273",2006 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",23350,355915
"10274",2006 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",13373,204786
"10275",2006 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",2923,51943
"10276",2006 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1450,30247
"10277",2006 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1033,22196
"10278",2006 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",928,20503
"10279",2007 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",777,16679
"10280",2007 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1077,24280
"10281",2007 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",38098,533272
"10282",2007 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",133803,1847636
"10283",2007 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",134575,1871787
"10284",2007 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",54599,780085
"10285",2007 Jul,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",22575,334835
"10286",2007 Aug,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",20751,306256.22
"10287",2007 Sept,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",21391,309338.9
"10288",2007 Oct,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",4305,75372.06
"10289",2007 Nov,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",1668,37122.04
"10290",2007 Dec,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",977,27132
"10291",2008 Jan,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",685,21325
"10292",2008 Feb,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",889,31721
"10293",2008 Mar,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",3880,77596
"10294",2008 Apr,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",89095,1272830
"10295",2008 May,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",196715,2755875
"10296",2008 Jun,"Concessional","Co-payments","J","Antiinfectives for systemic use","J07","VACCINES",69990,1004114
"10297",1991 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2625,173092
"10298",1991 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2291,151701
"10299",1991 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2309,141501
"10300",1991 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2483,175710
"10301",1991 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2431,155605
"10302",1991 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2611,159093
"10303",1992 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",1966,114402
"10304",1992 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2332,142699
"10305",1992 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2757,173514
"10306",1992 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3012,186871
"10307",1992 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2817,177353
"10308",1992 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2962,198322
"10309",1992 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3531,245287.19
"10310",1992 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2973,174959.63
"10311",1992 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2971,180753.54
"10312",1992 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2846,185872.04
"10313",1992 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2550,162095.22
"10314",1992 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3089,202627.69
"10315",1993 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2326,149377.95
"10316",1993 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2897,183278.81
"10317",1993 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3733,241566.53
"10318",1993 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3618,240642.13
"10319",1993 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3894,257409.29
"10320",1993 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3745,260237.01
"10321",1993 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3840,258925.36
"10322",1993 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3515,234150.42
"10323",1993 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3476,244297.42
"10324",1993 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3393,267313.41
"10325",1993 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3064,216295.6
"10326",1993 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3611,243690.73
"10327",1994 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",2585,195194.66
"10328",1994 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3494,253584.41
"10329",1994 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4492,313232.01
"10330",1994 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4132,288501.94
"10331",1994 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4543,312727.73
"10332",1994 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4413,311091.94
"10333",1994 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4581,323806.22
"10334",1994 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4319,295117.53
"10335",1994 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3874,274303.71
"10336",1994 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3913,299345.98
"10337",1994 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3646,287415.36
"10338",1994 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3693,322347.24
"10339",1995 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",3447,328111.44
"10340",1995 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4248,390657.73
"10341",1995 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5464,456470.61
"10342",1995 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5111,419151.3
"10343",1995 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4852,398590.7
"10344",1995 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5025,420688.89
"10345",1995 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5218,465582.98
"10346",1995 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5094,516858.04
"10347",1995 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4506,415235.96
"10348",1995 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4557,441875.25
"10349",1995 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4087,422491.07
"10350",1995 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4284,444423.38
"10351",1996 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4027,428608.45
"10352",1996 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5205,538993.09
"10353",1996 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5886,548062.53
"10354",1996 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5707,542080.35
"10355",1996 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5722,523587.31
"10356",1996 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5464,498863.01
"10357",1996 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5929,583061.54
"10358",1996 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5428,612993.91
"10359",1996 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5399,653423.19
"10360",1996 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5365,697570.62
"10361",1996 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4814,570052.43
"10362",1996 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5290,649048.45
"10363",1997 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4438,553869.21
"10364",1997 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5274,641405.19
"10365",1997 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",6184,714375.97
"10366",1997 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",6501,751530.58
"10367",1997 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",6541,793328.79
"10368",1997 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",6357,696329.07
"10369",1997 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",6481,737535.07
"10370",1997 Aug,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5709,704368.42
"10371",1997 Sept,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5625,695204.86
"10372",1997 Oct,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5569,699018.93
"10373",1997 Nov,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",4936,617200.17
"10374",1997 Dec,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5606,690746.3
"10375",1998 Jan,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5007,729410.61
"10376",1998 Feb,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",5869,766844.33
"10377",1998 Mar,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",6581,744362.97
"10378",1998 Apr,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",7210,1048314.68
"10379",1998 May,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",7075,845290.66
"10380",1998 Jun,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",7053,930066.67
"10381",1998 Jul,"Concessional","Co-payments","L","Antineoplastic and immunomodulating agents","L01","ANTINEOPLASTIC AGENTS",7488,1080204.17
